Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct,latitude,longitude
809755,Bloomingdales Holiday Window Unveiling Premier,11/13/2024 06:45:00 PM,11/13/2024 07:15:00 PM,Street Activity Permit Office,Street Event,Manhattan,"LEXINGTON AVENUE between EAST   59 STREET and EAST   60 STREET,  LEXINGTON AVENUE between EAST   59 STREET and EAST   60 STREET,  EAST   60 STREET between LEXINGTON AVENUE and THIRD AVENUE",East,Sidewalk and Curb Lane Closure,"8,","19,",40.7429639,-73.9822392
814524,The Art Show,10/24/2024 06:00:00 AM,11/03/2024 11:59:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   65 STREET and EAST   67 STREET,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET,  EAST   66 STREET between LEXINGTON AVENUE and PARK AVENUE",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
756665,Marc Jacobs Fashion Show at The Park Avenue Armory,02/02/2024 06:00:00 PM,02/02/2024 08:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   66 STREET and EAST   67 STREET,  EAST   66 STREET between LEXINGTON AVENUE and PARK AVENUE,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
766692,Tisch Wedding at The Park Avenue Armory,04/13/2024 05:00:00 PM,04/13/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   66 STREET and EAST   67 STREET,  EAST   66 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
757972,IFPDA Print Fair at The Park Avenue Armory,02/15/2024 04:00:00 PM,02/15/2024 09:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   66 STREET and EAST   67 STREET,  LEXINGTON AVENUE between EAST   65 STREET and EAST   66 STREET,  EAST   66 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
751465,The Winter Show 2024 at The Park Avenue Armory: 643 Park Ave.,01/15/2024 12:01:00 AM,01/29/2024 11:59:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   66 STREET and EAST   67 STREET,  LEXINGTON AVENUE between EAST   65 STREET and EAST   66 STREET,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET,  EAST   66 STREET between LEXINGTON AVENUE and PARK AVENUE",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
813997,Giorgio Armani,10/17/2024 06:00:00 PM,10/21/2024 11:59:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LEXINGTON AVENUE between EAST   67 STREET and EAST   66 STREET,  EAST   66 STREET between PARK AVENUE and LEXINGTON AVENUE,  PARK AVENUE between EAST   66 STREET and EAST   67 STREET",West,Curb Lane Only,"8,","19,",40.7429639,-73.9822392
765933,James Weldon Johnson Houses Love and Unity Day,07/27/2024 12:00:00 PM,07/27/2024 06:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,LEXINGTON AVENUE between EAST  115 STREET and EAST  112 STREET,Full,Full Street Closure,"11,","23,",40.7429639,-73.9822392
802086,Four Corners Initiative Block Party,08/24/2024 12:00:00 PM,08/24/2024 04:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"LEXINGTON AVENUE between EAST  127 STREET and EAST  128 STREET,  LEXINGTON AVENUE between EAST  125 STREET and EAST  126 STREET,  EAST  126 STREET between PARK AVENUE and LEXINGTON AVENUE,  EAST  126 STREET between 3 AVENUE and LEXINGTON AVENUE,  EAST  127 STREET between 3 AVENUE and LEXINGTON AVENUE,  EAST  128 STREET between PARK AVENUE and LEXINGTON AVENUE,  EAST  128 STREET between 3 AVENUE and LEXINGTON AVENUE,  LEXINGTON AVENUE between EAST  126 STREET and EAST  127 STREET",Full,Full Street Closure,"11,","25,",40.7429639,-73.9822392
817135,Heroes Parade,10/24/2024 12:01:00 AM,10/24/2024 11:59:00 AM,Street Activity Permit Office,Street Event,Manhattan,LIBERTY STREET between BROADWAY and CHURCH STREET,West,Curb Lane Only,"1,","1,",40.7106086,-74.013518
748879,WORLD TRADE CENTER BLOCK PARTY,09/05/2024 09:00:00 AM,09/05/2024 06:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,LIBERTY STREET between BROADWAY and TRINITY PLACE,Full,Full Street Closure,"1,","1,",40.7106086,-74.013518
806219,Fashion Show,09/09/2024 08:00:00 AM,09/09/2024 11:00:00 AM,Street Activity Permit Office,Street Event,Manhattan,"LIBERTY STREET between NASSAU STREET and WILLIAM STREET,  WILLIAM STREET between LIBERTY STREET and PINE STREET",South,Curb Lane Only,"1,","1,",40.7106086,-74.013518
801543,Tractenberg - Color Wow 2,08/07/2024 08:00:00 AM,08/07/2024 09:35:00 PM,Street Activity Permit Office,Street Event,Manhattan,LIBERTY STREET between SOUTH END AVENUE and WEST STREET,East,Sidewalk and Curb Lane Closure,"1,","1,",40.7106086,-74.013518
748874,FINANCIAL COMMUNITY FAIR,08/08/2024 09:00:00 AM,08/08/2024 06:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,LIBERTY STREET between TRINITY PLACE and BROADWAY,Full,Full Street Closure,"1,","1,",40.7106086,-74.013518
756458,Domino Effect Installation,01/26/2024 12:01:00 AM,01/26/2024 03:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"LIBERTY STREET between WILLIAM STREET and NASSAU STREET,  WILLIAM STREET between LIBERTY STREET and PINE STREET,  PINE STREET between WILLIAM STREET and NASSAU STREET",South,Curb Lane Only,"1,","1,",40.7106086,-74.013518
790017,The Urban Bear Street Festival,09/15/2024 01:00:00 PM,09/15/2024 07:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,LITTLE WEST   12 STREET between 10 AVENUE and WASHINGTON STREET,Full,Full Street Closure,"2,","6,",40.7397,-74.0076
806194,Brandon Maxwell Fashion Show and Pop Up Store at 25 Little W. 12th St.,09/06/2024 04:00:00 PM,09/06/2024 06:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,LITTLE WEST   12 STREET between 9 AVENUE and WASHINGTON STREET,North,Curb Lane Only,"2,","6,",40.7397,-74.0076
804040,Porsche x Pantone Launch Event at Ludlow House: 139 Ludlow St.,09/04/2024 06:00:00 PM,09/04/2024 10:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,LUDLOW STREET between RIVINGTON STREET and STANTON STREET,West,Curb Lane Only,"3,","7,",40.7167744,-73.9900529
808925,Truck Staging,09/13/2024 07:00:00 AM,09/13/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,LUDLOW STREET between STANTON STREET and RIVINGTON STREET,West,Curb Lane Only,"3,","7,",40.7167744,-73.9900529
807634,MacDougal Street Mamba,10/13/2024 10:00:00 AM,10/13/2024 06:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,MACDOUGAL STREET between WEST HOUSTON STREET and PRINCE STREET,Full,Full Street Closure,"2,","1,",40.7325838,-73.9983096
811650,taste of asia,10/08/2024 05:00:00 PM,10/08/2024 10:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"MADISON AVENUE between EAST   23 STREET and EAST   24 STREET,  MADISON AVENUE between EAST   24 STREET and EAST   25 STREET",West,Curb Lane Only,"5,","13,",40.7415241,-73.9875212
754672,Pakistan Independence Day Celebration,08/25/2024 10:00:00 AM,08/25/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MADISON AVENUE between EAST   24 STREET and EAST   25 STREET,Full,Full Street Closure,"5,","13,",40.7415241,-73.9875212
794627,Nigeria Independence Day Festival,10/05/2024 10:00:00 AM,10/05/2024 06:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,MADISON AVENUE between EAST   24 STREET and EAST   26 STREET,Full,Full Street Closure,"5,","13,",40.7415241,-73.9875212
751420,Pakistan Independence Day Celebration,08/25/2024 01:00:00 PM,08/25/2024 06:00:00 PM,Police Department,Parade,Manhattan,"MADISON AVENUE between EAST   38 STREET and EAST   27 STREET,  EAST   38 STREET between 5 AVENUE and PARK AVENUE,  EAST   27 STREET between 5 AVENUE and PARK AVENUE SOUTH",Full,Full Street Closure,"5, 6,","13, 14, 17,",40.7415241,-73.9875212
754593,Muslim Day Parade,09/29/2024 09:00:00 AM,09/29/2024 06:00:00 PM,Police Department,Parade,Manhattan,"MADISON AVENUE between EAST   38 STREET and EAST   37 STREET,  MADISON AVENUE between EAST   38 STREET and EAST   27 STREET,  MADISON AVENUE between EAST   27 STREET and EAST   26 STREET,  EAST   37 STREET between 5 AVENUE and PARK AVENUE,  EAST   27 STREET between 5 AVENUE and MADISON AVENUE",Full,Full Street Closure,"5, 6,","13, 14, 17,",40.7415241,-73.9875212
759849,BondVet Cart - Day 2,02/15/2024 06:00:00 AM,02/15/2024 08:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MADISON AVENUE between EAST   42 STREET and EAST   43 STREET,West,Curb Lane Only,"5,","14,",40.7415241,-73.9875212
813723,Burberry Production Parking,10/16/2024 12:30:00 AM,10/16/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON AVENUE between EAST   56 STREET and EAST   57 STREET,West,Curb Lane Only,"5,","18,",40.7415241,-73.9875212
748462,Bastille Day Festival,07/14/2024 10:00:00 AM,07/14/2024 06:00:00 PM,Street Activity Permit Office,Street Festival,Manhattan,"MADISON AVENUE between EAST   59 STREET and EAST   63 STREET,  EAST   60 STREET between MADISON AVENUE and 5 AVENUE",Full,Full Street Closure,"8,","19,",40.7415241,-73.9875212
792257,Nazar Pop-up Event,07/30/2024 12:01:00 AM,07/30/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"MADISON AVENUE between EAST   63 STREET and EAST   62 STREET,  EAST   63 STREET between 5 AVENUE and MADISON AVENUE",West,Sidewalk and Curb Lane Closure,"8,","19,",40.7415241,-73.9875212
812534,Production Parking - Load-in   Load-out,10/11/2024 12:01:00 AM,10/11/2024 11:59:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON AVENUE between EAST   65 STREET and EAST   66 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
813591,CREED 794 EVENT,10/10/2024 12:30:00 AM,10/10/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON AVENUE between EAST   67 STREET and EAST   68 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
816387,3 GUYS EVENT,10/22/2024 12:30:00 AM,10/22/2024 11:30:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON AVENUE between EAST   75 STREET and EAST   76 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
771555,WHITE CUBE GALLERY  - Gromley Exhibition,04/13/2024 12:01:00 AM,04/15/2024 11:30:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON AVENUE between EAST   77 STREET and EAST   78 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
805346,Dr Sturm Coffee Cart UES,09/14/2024 11:00:00 AM,09/14/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MADISON AVENUE between EAST   78 STREET and EAST   77 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
815783,Madison Avenue Fall Gallery Walk,10/26/2024 10:00:00 AM,10/26/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MADISON AVENUE between EAST   78 STREET and EAST   79 STREET,West,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
805642,ORVEDA MAISON OPENING,09/05/2024 12:30:00 AM,09/12/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"MADISON AVENUE between EAST   78 STREET and EAST   79 STREET,  MADISON AVENUE between EAST   78 STREET and EAST   79 STREET",East,Curb Lane Only,"8,","19,",40.7415241,-73.9875212
775409,Mt Sinai Greenmarket Wednesday,07/17/2024 08:00:00 AM,07/17/2024 05:00:00 PM,Street Activity Permit Office,Farmers Market,Manhattan,MADISON AVENUE between EAST   98 STREET and EAST   99 STREET,East,Sidewalk and Curb Lane Closure,"11,","23,",40.7415241,-73.9875212
812840,Nike Activation - City Seeding,11/15/2024 01:00:00 PM,11/15/2024 03:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON STREET between CATHERINE STREET and MARKET STREET,South,Curb Lane Only,"3,","5,",40.7116654,-74.0016461
811768,Nocta Production Parking,10/04/2024 12:01:00 AM,10/14/2024 11:30:00 PM,Street Activity Permit Office,Production Event,Manhattan,MADISON STREET between MARKET STREET and CATHERINE STREET,South,Curb Lane Only,"3,","5,",40.7116654,-74.0016461
760715,CAROLINA HERRERA FASHION SHOW,02/11/2024 09:00:00 AM,02/11/2024 11:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,MAIDEN LANE between FRONT STREET and SOUTH STREET,South,Curb Lane Only,"1,","1,",40.7076165,-74.0077343
779062,The Punishers Motorcycle Club Memorial Ride,07/13/2024 10:00:00 AM,07/13/2024 02:00:00 PM,Police Department,Parade,Manhattan,"MAJOR DEEGAN between CITY LIMITS and MANHATTAN,  MAJOR DEEGAN EXWY between CITY LIMITS and W FORDHAM RD,  UNIVERSITY HIGHT BR (207ST BRIDGE) between MAJOR DEEGAN EXWY and 10 AV,  10 AVENUE between WEST  207 STREET and DYCKMAN STREET,  HARLEM RIVER DRIVE between DYCKMAN STREET and FDR,  FDR between HARLEM RIVER DR and BATTERY PARK UNDERPASS,  WEST STREET between BATTERY PLACE and LIBERTY STREET,  SOUTH END AVENUE between LIBERTY STREET and WEST THAMES STREET,  LIBERTY STREET between WEST STREET and SOUTH END AVENUE,  G WASHINGTON BRIDGE between HARLEM RIVER DR and PALISDES PARKWAY,  FDR NORTH between SOUTH ST and HARLEM RIVER DR TO GWB",South,Full Street Closure,"1, 10, 11, 12, 26, 3, 6, 7, 8,","1, 13, 17, 19, 23, 25, 32, 33, 34, 50, 52, 7, 9,",,
807921,Free electronic waste Recycling Event,09/22/2024 10:00:00 AM,09/22/2024 02:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MANHATTAN AVENUE between WEST  113 STREET and WEST  114 STREET,East,Curb Lane Only,"10,","28,",40.8021523,-73.9589231
802090,Mikes Job Fair,08/20/2024 11:00:00 AM,08/20/2024 08:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"MERCER STREET between BROOME STREET and GRAND STREET,  BROADWAY between BROOME STREET and GRAND STREET",East,Sidewalk and Curb Lane Closure,"2,","1, 5,",40.7216873,-74.0010821
796171,BoldHue Road Tour,08/02/2024 12:00:00 PM,08/02/2024 06:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MERCER STREET between PRINCE STREET and SPRING STREET,West,Sidewalk and Curb Lane Closure,"2,","1,",40.7216873,-74.0010821
806769,HM Load In,09/09/2024 08:00:00 AM,09/12/2024 06:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,MERCER STREET between PRINCE STREET and WEST HOUSTON STREET,East,Curb Lane Only,"2,","1,",40.7216873,-74.0010821
757857,HM BRAND LAB.,02/07/2024 07:00:00 PM,02/07/2024 10:00:00 PM,Street Activity Permit Office,Production Event,Manhattan,"MERCER STREET between PRINCE STREET and WEST HOUSTON STREET,  BROADWAY between PRINCE STREET and WEST HOUSTON STREET",East,Curb Lane Only,"2,","1, 5,",40.7216873,-74.0010821
803434,Vote For Abortion,09/07/2024 11:00:00 AM,09/07/2024 03:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MERCER STREET between SPRING STREET and BROOME STREET,West,Sidewalk and Curb Lane Closure,"2,","1,",40.7216873,-74.0010821
795472,Tatcha Spring Street,08/15/2024 12:30:00 AM,08/15/2024 11:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MERCER STREET between W HOUSTON STREET and PRINCE,West,Sidewalk and Curb Lane Closure,"2,","1,",40.7216873,-74.0010821
799473,Tory Burch Coffee Cart,08/16/2024 10:00:00 AM,08/18/2024 05:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MERCER STREET between W HOUSTON STREET and PRINCE STREET,West,Sidewalk and Curb Lane Closure,"2,","1,",40.7216873,-74.0010821
799415,H&M Block Party,10/09/2024 04:00:00 PM,10/09/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"MERCER STREET between WEST HOUSTON STREET and PRINCE STREET,  EAST HOUSTON STREET between BROADWAY and MERCER STREET",Full,Full Street Closure,"2,","1, 5,",40.7216873,-74.0010821
754646,Stone Street Pedestrian Mall,03/14/2024 11:00:00 AM,11/03/2024 10:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,"MILL LANE between SOUTH WILLIAM STREET and STONE STREET,  STONE STREET between BROAD STREET and HANOVER SQUARE",Full,Full Street Closure,"1,","1,",40.7046526,-74.0101902
774609,NYC Kidsfest,06/15/2024 01:00:00 PM,06/15/2024 07:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MORNINGSIDE AVENUE between WEST  113 STREET and WEST  114 STREET,Full,Full Street Closure,"10, 9,","26, 28,",40.8078432,-73.9565886
806315,St. Luke Baptist Church Community Outreach Health  Wellness Day,09/21/2024 12:00:00 PM,09/21/2024 03:00:00 PM,Street Activity Permit Office,Health Fair,Manhattan,MORNINGSIDE AVENUE between WEST  123 STREET and WEST  124 STREET,Full,Full Street Closure,"9,","26,",40.8078432,-73.9565886
781906,26th Precinct National Night Out,08/06/2024 04:00:00 PM,08/06/2024 08:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MORNINGSIDE AVENUE between WEST  125 STREET and WEST  126 STREET,Full,Full Street Closure,"9,","26,",40.8078432,-73.9565886
815677,P.S. 36 Turkey Trot,11/27/2024 08:50:00 AM,11/27/2024 01:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MORNINGSIDE DRIVE between WEST  121 STREET and AMSTERDAM AVENUE,Full,Full Street Closure,"9,","26,",40.8065868,-73.9590174
797212,911 Commemorative Tribute in Light,09/11/2024 07:00:00 PM,09/12/2024 07:00:00 AM,Street Activity Permit Office,Production Event,Manhattan,MORRIS STREET between WEST STREET and WASHINGTON STREET,North,Curb Lane Only,"1,","1,",40.7060638,-74.0137978
751919,the 26th Lunar New Year Parade,02/25/2024 01:00:00 PM,02/25/2024 04:00:00 PM,Police Department,Parade,Manhattan,"MOTT STREET between BROOME STREET and CANAL STREET,  HESTER STREET between BOWERY and MULBERRY STREET,  MOTT STREET between CANAL STREET and CHATHAM SQUARE,  EAST BROADWAY between CHATHAM SQUARE and FORSYTH STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and FORSYTH STREET,  FORSYTH STREET between HESTER STREET and GRAND STREET,  CHATHAM SQUARE between MOTT STREET and EAST BROADWAY,  FORSYTH STREET between GRAND STREET and DELANCEY STREET,  BROOME STREET between FORSYTH STREET and ELDRIDGE STREET",Both,Full Street Closure,"2, 3,","5,",40.7211765,-73.9956386
782722,The 22nd Autumn Moon Cultural Festival and Childrens lantern Parade,09/15/2024 11:00:00 AM,09/15/2024 03:00:00 PM,Street Activity Permit Office,Block Party,Manhattan,MOTT STREET between CANAL STREET and CHATHAM SQUARE,Full,Full Street Closure,"3,","5,",40.7211765,-73.9956386
802713,Joint Qi Gong and Mid-Autumn Moon Festival,09/14/2024 12:00:00 PM,09/14/2024 09:00:00 PM,Street Activity Permit Office,Single Block Festival,Manhattan,MOTT STREET between CANAL STREET and WORTH STREET,Full,Full Street Closure,"3,","5,",40.7211765,-73.9956386
805890,7-HBOs The Penguin Tee Shirt Truck,09/13/2024 10:00:00 AM,09/14/2024 08:00:00 PM,Street Activity Permit Office,Street Event,Manhattan,MOTT STREET between EAST HOUSTON STREET and PRINCE STREET,West,Sidewalk and Curb Lane Closure,"2,","5,",40.7211765,-73.9956386
783959,July Falun Dafa Parade,07/20/2024 01:00:00 PM,07/20/2024 03:00:00 PM,Police Department,Parade,Manhattan,"MOTT STREET between GRAND STREET and HESTER STREET,  MOTT STREET between HESTER STREET and CHATHAM SQUARE,  CHATHAM SQUARE between MOTT STREET and EAST BROADWAY,  EAST BROADWAY between CHATHAM SQUARE and ELDRIDGE STREET,  ELDRIDGE STREET between EAST BROADWAY and HESTER STREET,  HESTER STREET between ELDRIDGE STREET and ALLEN STREET",Both,Full Street Closure,"2, 3,","5, 7,",40.7211765,-73.9956386
